N	trait_mean	trait_var	age_MY	tsID	age_MY_min	age_MY_max
200	2.006	0.118657286	0.84	427	NA	NA
200	1.8085	0.068017839	0.87	427	NA	NA
200	2.0135	0.165193719	0.9	427	NA	NA
200	2.7475	0.609943467	0.93	427	NA	NA
200	3.1175	0.483360553	0.97	427	NA	NA
200	2.9665	0.555706281	1	427	NA	NA
200	3.073	0.564392965	1.04	427	NA	NA
200	2.779	0.730813065	1.1	427	NA	NA
200	2.665	0.680376884	1.15	427	NA	NA
200	2.806	0.619561809	1.2	427	NA	NA
200	2.6455	0.502592714	1.25	427	NA	NA
200	2.8345	0.933728392	1.31	427	NA	NA
200	2.984	0.255421106	1.35	427	NA	NA
200	3.0115	0.34484196	1.39	427	NA	NA
200	2.8825	0.270998744	1.42	427	NA	NA
200	3.1705	0.405406784	1.46	427	NA	NA
200	2.727	0.768011055	1.49	427	NA	NA
200	2.999	0.268642211	1.52	427	NA	NA
200	2.9575	0.514214824	1.55	427	NA	NA
200	2.605	1.145	1.58	427	NA	NA
200	2.4415	0.837716332	1.62	427	NA	NA
200	2.6295	1.421085176	1.65	427	NA	NA
200	2.564	1.672667337	1.69	427	NA	NA
200	2.3165	1.210128392	1.72	427	NA	NA
200	2.311	1.515958794	1.76	427	NA	NA
200	3.3945	2.262632915	1.8	427	NA	NA
200	3.6175	0.586978643	1.83	427	NA	NA
20	1.2625	0.032482895	0	434	NA	NA
26	1.403076923	0.056382154	0.349999999999998	434	NA	NA
39	1.494102564	0.113745884	0.66	434	NA	NA
27	1.346296296	0.093154986	0.969999999999999	434	NA	NA
29	1.478275862	0.060821921	1.32	434	NA	NA
30	1.411333333	0.08268092	1.62	434	NA	NA
36	1.289166667	0.057379286	2.02	434	NA	NA
24	1.334166667	0.072964493	2.43	434	NA	NA
36	1.348333333	0.05642	2.78	434	NA	NA
4	1.58	0.026933333	3.1	434	NA	NA
20	3.093	0.113558947	0	433	NA	NA
26	3.177692308	0.115674462	0.349999999999998	433	NA	NA
39	3.202307692	0.145423482	0.66	433	NA	NA
27	2.967037037	0.174552422	0.969999999999999	433	NA	NA
29	3.269310345	0.142199507	1.32	433	NA	NA
30	3.096666667	0.232505747	1.62	433	NA	NA
36	2.946388889	0.104360873	2.02	433	NA	NA
24	2.812083333	0.082234601	2.43	433	NA	NA
36	2.645	0.136797143	2.78	433	NA	NA
4	2.8125	0.041491667	3.1	433	NA	NA
20	2.4815	0.142497632	0	432	NA	NA
26	2.308461538	0.118893538	0.349999999999998	432	NA	NA
39	2.215897436	0.171945884	0.66	432	NA	NA
27	2.264074074	0.119209687	0.969999999999999	432	NA	NA
29	2.237241379	0.052592118	1.32	432	NA	NA
30	2.237	0.102497586	1.62	432	NA	NA
36	2.348055556	0.188793254	2.02	432	NA	NA
24	2.169583333	0.150291123	2.43	432	NA	NA
36	1.998333333	0.107528571	2.78	432	NA	NA
4	1.785	0.010833333	3.1	432	NA	NA
89	0.65752809	0.02691882	0	431	NA	NA
80	0.62575	0.033401962	1.42	431	NA	NA
80	1.019875	0.035175934	3.16	431	NA	NA
74	1.185675676	0.046830359	3.51	431	NA	NA
57	1.222807018	0.086081266	3.82	431	NA	NA
73	1.124383562	0.04662774	4.13	431	NA	NA
71	1.105633803	0.03940495	4.48	431	NA	NA
70	1.139285714	0.038458903	4.78	431	NA	NA
64	1.08328125	0.042123983	5.18	431	NA	NA
76	0.938421053	0.03356814	5.59	431	NA	NA
46	1.046521739	0.040227633	5.94	431	NA	NA
89	2.611011236	0.181527375	0	430	NA	NA
80	2.11025	0.107313861	1.42	430	NA	NA
80	3.072375	0.141868972	3.16	430	NA	NA
74	3.208513514	0.191489541	3.51	430	NA	NA
57	3.271578947	0.315506391	3.82	430	NA	NA
73	3.024520548	0.148166781	4.13	430	NA	NA
71	2.997042254	0.108549698	4.48	430	NA	NA
70	3.011571429	0.134216335	4.78	430	NA	NA
64	2.96921875	0.259220015	5.18	430	NA	NA
76	2.6375	0.134883	5.59	430	NA	NA
46	2.69673913	0.11596913	5.94	430	NA	NA
89	4.112696629	0.635733555	0	429	NA	NA
80	3.611625	1.100963149	1.42	429	NA	NA
80	3.073	0.206193418	3.16	429	NA	NA
74	2.756756757	0.160509885	3.51	429	NA	NA
57	2.760350877	0.285849875	3.82	429	NA	NA
73	2.741643836	0.130075038	4.13	429	NA	NA
71	2.763521127	0.153780282	4.48	429	NA	NA
70	2.691571429	0.151769959	4.78	429	NA	NA
64	2.76796875	0.088095809	5.18	429	NA	NA
76	2.857236842	0.134993596	5.59	429	NA	NA
46	2.633043478	0.164252754	5.94	429	NA	NA
60	0.42027	0.006067536	0	390	NA	NA
60	0.40983	0.001428924	0.0015264	390	NA	NA
60	0.41967	0.001700686	0.0055968	390	NA	NA
60	0.42024	0.006064458	0.0091584	390	NA	NA
60	0.40978	0.001428924	0.0134832	390	NA	NA
60	0.42021	0.006247397	0.0162816	390	NA	NA
60	0.4202	0.005890302	0.0185712	390	NA	NA
60	0.42947	0.006247397	0.0208608	390	NA	NA
60	0.40975	0.001428924	0.0244224	390	NA	NA
60	0.42076	0.006247397	0.0272208	390	NA	NA
60	0.42017	0.001516884	0.0290016	390	NA	NA
60	0.39001	0.001428924	0.0340896	390	NA	NA
60	0.40043	0.001607471	0.0379056	390	NA	NA
60	0.39926	0.006067536	0.0422304	390	NA	NA
60	0.39983	0.00142743	0.0450288	390	NA	NA
60	0.40968	0.001516884	0.0478272	390	NA	NA
60	0.41024	0.001516884	0.0511344	390	NA	NA
60	0.39864	0.001518424	0.0544416	390	NA	NA
60	0.39051	0.006429885	0.058512	390	NA	NA
60	0.38992	0.001343591	0.0613104	390	NA	NA
60	0.3905	0.006067536	0.0628368	390	NA	NA
60	0.4102	0.006067536	0.0643632	390	NA	NA
60	0.39918	0.001516884	0.0666528	390	NA	NA
60	0.38005	0.001516884	0.067416	390	NA	NA
60	0.36961	0.001607471	0.0691968	390	NA	NA
60	0.35974	0.001700686	0.0745392	390	NA	NA
60	0.37944	0.006247397	0.077592	390	NA	NA
60	0.38985	0.001428924	0.08268	390	NA	NA
60	0.37999	0.005890302	0.0842064	390	NA	NA
60	0.38984	0.005715695	0.0847152	390	NA	NA
60	0.36955	0.001518424	0.0862416	390	NA	NA
60	0.39042	0.005715695	0.0882768	390	NA	NA
60	0.3794	0.006247397	0.0892944	390	NA	NA
60	0.37939	0.005890302	0.0905664	390	NA	NA
60	0.37881	0.001516884	0.091584	390	NA	NA
60	0.38981	0.006429885	0.0956544	390	NA	NA
60	0.3811	0.001516884	0.0994704	390	NA	NA
60	0.36022	0.001605887	0.1032864	390	NA	NA
60	0.39034	0.001607471	0.1104096	390	NA	NA
60	0.37988	0.001516884	0.1188048	390	NA	NA
60	0.39958	0.001516884	0.1231296	390	NA	NA
60	0.37927	0.001516884	0.128472	390	NA	NA
60	0.36882	0.001607471	0.13356	390	NA	NA
60	0.38097	0.006426716	0.1391568	390	NA	NA
60	0.39022	0.001428924	0.1465344	390	NA	NA
60	0.38906	0.006615	0.1483152	390	NA	NA
60	0.40007	0.001700686	0.1495872	390	NA	NA
60	0.38034	0.001428924	0.153912	390	NA	NA
60	0.39019	0.001605887	0.1569648	390	NA	NA
60	0.37917	0.006067536	0.159	390	NA	NA
60	1.1806	0.006092188	0	388	NA	NA
60	1.1395	0.006341459	0.00223802	388	NA	NA
60	1.1702	0.006595728	0.006613475	388	NA	NA
60	1.1492	0.006627863	0.010259687	388	NA	NA
60	1.1911	0.006887755	0.014157362	388	NA	NA
60	1.1702	0.006595728	0.016646845	388	NA	NA
60	1.1702	0.005847915	0.018935157	388	NA	NA
60	1.1798	0.006092188	0.021952712	388	NA	NA
60	1.1694	0.006092188	0.025121145	388	NA	NA
60	1.1903	0.006092188	0.02766092	388	NA	NA
60	1.1589	0.005847915	0.029421161	388	NA	NA
60	1.1605	0.005847915	0.034425273	388	NA	NA
60	1.1718	0.006595728	0.039353946	388	NA	NA
60	1.15	0.006123074	0.042597817	388	NA	NA
60	1.179	0.006595728	0.045062154	388	NA	NA
60	1.1605	0.00560864	0.04868322	388	NA	NA
60	1.171	0.006595728	0.051298434	388	NA	NA
60	1.1782	0.006341459	0.054693184	388	NA	NA
60	1.1895	0.005847915	0.058867468	388	NA	NA
60	1.1895	0.006092188	0.06231251	388	NA	NA
60	1.1992	0.01424469	0.0633938	388	NA	NA
60	1.221	0.00560864	0.064399652	388	NA	NA
60	1.1992	0.005847915	0.067266329	388	NA	NA
60	1.2	0.006123074	0.068020718	388	NA	NA
60	1.1774	0.006092188	0.069730666	388	NA	NA
60	1.1702	0.00560864	0.07478507	388	NA	NA
60	1.1992	0.005847915	0.077274553	388	NA	NA
60	1.2008	0.006627863	0.083033054	388	NA	NA
60	1.1782	0.010396293	0.084365807	388	NA	NA
60	1.1895	0.001705578	0.085044757	388	NA	NA
60	1.171	0.006887755	0.086729559	388	NA	NA
60	1.2008	0.006123074	0.087282777	388	NA	NA
60	1.179	0.006341459	0.088967579	388	NA	NA
60	1.1903	0.006627863	0.091582793	388	NA	NA
60	1.1694	0.006341459	0.091758817	388	NA	NA
60	1.221	0.006092188	0.095203859	388	NA	NA
60	1.179	0.00560864	0.099000949	388	NA	NA
60	1.1887	0.024864796	0.103150087	388	NA	NA
60	1.1911	0.005374362	0.110467658	388	NA	NA
60	1.1798	0.006341459	0.117483473	388	NA	NA
60	1.1903	0.006092188	0.123166535	388	NA	NA
60	1.2016	0.007152645	0.127718014	388	NA	NA
60	1.1895	0.00560864	0.132043176	388	NA	NA
60	1.1903	0.006123074	0.137424482	388	NA	NA
60	1.1613	0.006092188	0.146502293	388	NA	NA
60	1.1984	0.00560864	0.148136802	388	NA	NA
60	1.1879	0.006627863	0.149771311	388	NA	NA
60	1.1992	0.013869846	0.153543255	388	NA	NA
60	1.1605	0.006595728	0.156535663	388	NA	NA
60	1.1911	0.006092188	0.159	388	NA	NA
60	1.64	0.025555016	0	387	NA	NA
60	1.58	0.038346561	0.0015264	387	NA	NA
